data,trip
Jul-14,589.65
Aug-14,540.91
Sep-14,521.75
Oct-14,586.68
Nov-14,611.23
Dec-14,811.83
Jan-15,547.43
Feb-15,726.06
Mar-15,679.27
Apr-15,550.15
May-15,485.66
Jun-15,488.15
Jul-15,628.27
Aug-15,574.14
Sep-15,571.99
Oct-15,625.8
Nov-15,671.54
Dec-15,901.32
Jan-16,617.67
Feb-16,798.61
Mar-16,757.35
Apr-16,610.5
May-16,541.28
Jun-16,555.07
Jul-16,715.78
Aug-16,632.14
Sep-16,647.04
Oct-16,695.92
Nov-16,721.83
Dec-16,976.15
Jan-17,723.99
Feb-17,787.58
Mar-17,772.23
Apr-17,700.01
May-17,579.09
Jun-17,606.01
Jul-17,746.41
Aug-17,702.9
Sep-17,663.59
Oct-17,741.36
Nov-17,777.09
Dec-17,"1,015.04"
Jan-18,702.58
Feb-18,914.53
Mar-18,872.35
Apr-18,679.78
May-18,609.45
Jun-18,646.65
Jul-18,774.36
Aug-18,741.71
Sep-18,690.19
Oct-18,753.96
Nov-18,802.16
Dec-18,"1,057.90"
Jan-19,731.13
Feb-19,927.24
Mar-19,836.35
Apr-19,700.37
May-19,668.28
Jun-19,660.34
Jul-19,790.38
Aug-19,789.2
Sep-19,694.96
Oct-19,774.02
Nov-19,815.91
Dec-19,"1,077.72"
Jan-20,766.59
Feb-20,685.41
Mar-20,331.89
Apr-20,2.25
May-20,3.44
Jun-20,5.4
Jul-20,3.53
Aug-20,3.03
Sep-20,3.72
Oct-20,6.07
Nov-20,7.57
Dec-20,8.82
Jan-21,7.99
Feb-21,6.26
Mar-21,8.32
Apr-21,22.61
May-21,36.19
Jun-21,36.77
Jul-21,18.72
Aug-21,6.39
Sep-21,4.43
Oct-21,4.41
Nov-21,20.86
Dec-21,73.29
Jan-22,60.76
Feb-22,90.46
Mar-22,170.25
Apr-22,235.46
May-22,231.48
Jun-22,275.3
Jul-22,325.68
Aug-22,348.44
Sep-22,371.85
Oct-22,430.47
Nov-22,505.24
Dec-22,648.97
Jan-23,412.41
Feb-23,600.71
Mar-23,613.34
Apr-23,544.92
May-23,512.33
Jun-23,542.08
Jul-23,625.12
Aug-23,603.36
Sep-23,584.62
Oct-23,607.93
Nov-23,663.76
Dec-23,876.86
Jan-24,603.77
Feb-24,857.95
Mar-24,761.05
Apr-24,593.09
May-24,600.78
Jun-24,587.76
Jul-24,658.97
,
"Source: Australian Bureau of Statistics, Overseas Arrivals and Departures, Australia July 2024",
